Batch,File,Repository,Commit SHA,Refactoring Type,Description
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter profilingNotifiable : ProfilingNotifiable to profilingListener : ProfilingListener in method public unregisterFromProfilingData(jobID JobID, profilingListener ProfilingListener) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Attribute,"Rename Attribute registeredNotifiables : Map<JobID,List<ProfilingNotifiable>> to registeredListeners : Map<JobID,List<ProfilingListener>> in class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Method,"Rename Method public registerExecutionNotifiable(id ExecutionVertexID, jobConfiguration Configuration, environment Environment) : void renamed to public registerExecutionListener(id ExecutionVertexID, jobConfiguration Configuration, environment Environment) : void in class eu.stratosphere.nephele.profiling.impl.TaskManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Attribute,Rename Attribute instanceNotifiable : InstanceListener to instanceListener : InstanceListener in class eu.stratosphere.nephele.instance.local.LocalInstanceNotifier
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter instanceNotifiable : InstanceListener to instanceListener : InstanceListener in method public LocalInstanceNotifier(instanceListener InstanceListener, jobID JobID, allocatedResource AllocatedResource) from class eu.stratosphere.nephele.instance.local.LocalInstanceNotifier"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph1() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph2() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph3() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph4() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Method,Rename Method public unregisterExecutionNotifiable(id ExecutionVertexID) : void renamed to public unregisterExecutionListener(id ExecutionVertexID) : void in class eu.stratosphere.nephele.profiling.impl.TaskManagerProfilerImpl
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter profilingNotifiable : ProfilingNotifiable to profilingListener : ProfilingListener in method public registerForProfilingData(jobID JobID, profilingListener ProfilingListener) : void from class eu.stratosphere.nephele.profiling.JobManagerProfiler"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter profilingNotifiable : ProfilingNotifiable to profilingListener : ProfilingListener in method public unregisterFromProfilingData(jobID JobID, profilingListener ProfilingListener) : void from class eu.stratosphere.nephele.profiling.JobManagerProfiler"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Method,"Rename Method public registerExecutionNotifiable(id ExecutionVertexID, jobConfiguration Configuration, environment Environment) : void renamed to public registerExecutionListener(id ExecutionVertexID, jobConfiguration Configuration, environment Environment) : void in class eu.stratosphere.nephele.profiling.TaskManagerProfiler"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Method,Rename Method public unregisterExecutionNotifiable(id ExecutionVertexID) : void renamed to public unregisterExecutionListener(id ExecutionVertexID) : void in class eu.stratosphere.nephele.profiling.TaskManagerProfiler
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,40bbce2e97083ad4b766d783281b02228c476035,Rename Method,Rename Method public getTotalNumberOfQueuedEnvelopes() : int renamed to public canBeRemoved() : boolean in class eu.stratosphere.nephele.taskmanager.bytebuffered.OutgoingConnection
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,ad3a3d6f68887a6a9ff4d7ecb833f5e4d982c4c6,Rename Method,"Rename Method public registerIncomingConnectionFromNetwork(socketChannel SocketChannel) : void renamed to public registerIncomingConnection(incomingConnectionID IncomingConnectionID, readableByteChannel ReadableByteChannel) : IncomingConnection in class eu.stratosphere.nephele.taskmanager.bytebuffered.ByteBufferedChannelManager"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,ad3a3d6f68887a6a9ff4d7ecb833f5e4d982c4c6,Rename Attribute,Rename Attribute socketChannel : SocketChannel to readableByteChannel : ReadableByteChannel in class eu.stratosphere.nephele.taskmanager.bytebuffered.IncomingConnection
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,94afc4b3c4d19404fb03da7a8846cf4543197f6f,Rename Parameter,Rename Parameter inputFilename : String to limit : int in method public createInputFile(limit int) : File from class eu.stratosphere.nephele.util.TestUtils
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,f06f1959d8c8a2b9ff09a269b459b1b06867f2f6,Rename Attribute,Rename Attribute nrAvailable : int to numberOfAllocatedInstances : int in class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest.MyInstanceListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,fc128deffd2ef57f9de46cf9da247bfafa9898d7,Rename Variable,Rename Variable runtime : Runtime to hardwareDescription : HardwareDescription in method public createDefaultInstanceType() : InstanceType from class eu.stratosphere.nephele.instance.local.LocalInstanceManager
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,fc128deffd2ef57f9de46cf9da247bfafa9898d7,Rename Variable,Rename Variable memorySizeInMB : int to physicalMemory : int in method public createDefaultInstanceType() : InstanceType from class eu.stratosphere.nephele.instance.local.LocalInstanceManager
