Batch,File,Repository,Commit SHA,Description,is_pure_rename
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1f6e9fc90330e42be9bde1b1bbe2fa01c299e256,Rename Variable inVals : int[] to valCnt : int in method public testCombiningReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,8380b7b269c59784330aca107ac218c8150f61cf,"Rename Variable sum : int to cnt : int in method public reduce(key PactInteger, values Iterator<PactInteger>, out Collector<PactInteger,PactInteger>) : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest.MockReduceStub",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,8380b7b269c59784330aca107ac218c8150f61cf,Rename Variable sum : int to expSum : int in method public testCombiningReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,8380b7b269c59784330aca107ac218c8150f61cf,Rename Variable inKeys : int[] to keyCnt : int in method public testReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,8380b7b269c59784330aca107ac218c8150f61cf,Rename Variable inVals : int[] to valCnt : int in method public testReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,8380b7b269c59784330aca107ac218c8150f61cf,Rename Variable inKeys : int[] to keyCnt : int in method public testCombiningReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,8380b7b269c59784330aca107ac218c8150f61cf,Rename Variable inVals : int[] to valCnt : int in method public testCombiningReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1dedcaf309f0b2028c11815f752882c397ab0b7b,Rename Variable tpch3 : TPCHQuery3 to tpch9 : TPCHQuery9 in method protected getJobGraph() : JobGraph from class eu.stratosphere.pact.test.pactPrograms.TPCHQuery9ITCase,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,75f3856ea6bb4bc5f197dc1e39c4309957a39a1e,"Rename Variable pactProgram : PactProgram to job : JobGraph in method protected doGet(req HttpServletRequest, resp HttpServletResponse) : void from class eu.stratosphere.pact.client.web.JobSubmissionServlet",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,75f3856ea6bb4bc5f197dc1e39c4309957a39a1e,"Rename Variable jobGraph : JobGraph to job : JobGraph in method public getJobGraph(prog PactProgram, optPlan OptimizedPlan) : JobGraph from class eu.stratosphere.pact.client.nephele.api.Client",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,75f3856ea6bb4bc5f197dc1e39c4309957a39a1e,"Rename Variable codeGen : JobGraphGenerator to gen : JobGraphGenerator in method public getJobGraph(prog PactProgram, optPlan OptimizedPlan) : JobGraph from class eu.stratosphere.pact.client.nephele.api.Client",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,4cbfcdd0b10a5987d4efda9923973337b3093471,Rename Variable degreeOfParallelism : int to noSubtasks : int in method public getPlan(args String...) : Plan from class eu.stratosphere.pact.example.relational.TPCHQuery3,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,4cbfcdd0b10a5987d4efda9923973337b3093471,Rename Variable resultPath : String to output : String in method public getPlan(args String...) : Plan from class eu.stratosphere.pact.example.relational.TPCHQuery3,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,37ce8ddba22848ae81132777e6f5611bc0945423,"Rename Variable numberOfChunks : int to numberOfFullChunks : int in method public DefaultMemoryManager(memorySize long, chunkSize int) from class eu.stratosphere.nephele.services.memorymanager.spi.DefaultMemoryManager",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,2d0c3a53ccfebf08c3c073acb9aa997b0c18c07e,Rename Variable e : InterruptedException to iex : InterruptedException in method public read(readable IOReadableWritable) : boolean from class eu.stratosphere.nephele.services.iomanager.ChannelReader,Yes
