commit,old_name,new_name,type,coRename,line_number,file_path
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionStandings,factionFame,Rename Attribute,0,201,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionStandings,factionFame,Rename Parameter,0,372,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionStandings,factionFame,Rename Attribute,0,201,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionStandings,factionFame,Rename Parameter,0,372,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,setFactionStandings,setFactionFame,Rename Method,0,362,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,setFactionStandings,setFactionFame,Rename Method,0,362,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,getAllDynamicTemporaryFame,getAllPoliticalFame,Rename Method,1,388,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,getAllDynamicTemporaryFame,getAllPoliticalFame,Rename Method,2,388,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,dynamicTemporaryFame,politicalFame,Rename Attribute,3,211,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,dynamicTemporaryFame,politicalFame,Rename Attribute,3,211,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionStandings,fame,Rename Variable,4,1024,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionStandings,fame,Rename Variable,4,1024,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionEntry,i,Rename Variable,5,1033,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,factionEntry,i,Rename Variable,5,1033,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,roundedFame,roundedFactionFame,Rename Variable,6,338,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStandingReport.java
15a7f2bb798116ee07f7bd64204a88545d103ac0,roundedFame,roundedFactionFame,Rename Variable,6,338,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStandingReport.java
